Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7074.19378281866,7972.53665048385,9281.33334441234,10294.866680778
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47379.765194548,52265.6541620571,49686.1154582583,54343.2265084958
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,40201.6812422928,46896.8662432834,45935.9276473925,49463.8554617343
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1907.04251637669,2239.61384367482,2352.61392452078,2480.79208721621
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,32091.4866621366,36852.5425414951,35635.7442204098,39003.3160954123
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,8841.27075003163,10314.0506741437,11385.4070757929,13790.0243428344
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6133.32552410183,6826.9720069846,7363.27206939639,7906.58502858
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,64411.3731779373,71318.3073592183,78035.1753604212,82769.4122114216
